Слово,Число,Род,Одушевленность,Падеж,Собственное,Ударение
задачею,ед.,жен.,False,Творительный,False,3.0
лунём,ед.,муж.,True,Творительный,False,3.0
метлы,ед.,жен.,False,Родительный,False,4.0
валериею,ед.,жен.,True,Творительный,True,
диспетчером,ед.,муж.,True,Творительный,False,4.0
надпочечники,мн.,муж.,False,Именительный,False,4.0
патокой,ед.,жен.,False,Творительный,False,1.0
приобретателя,ед.,муж.,True,Родительный,False,8.0
дарькину,ед.,муж.,True,Дательный,True,
имитатору,ед.,муж.,True,Дательный,False,4.0
